cm
 

Hawaii

HONOLULU	[155]	21.31	-157.87
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.10	 0.24	 0.90	 3.91	 10.90	 21.97	 38.80	 64.60	 89.37	 98.22	 99.35	 99.94
rcp45 %ile	 0.33	 0.55	 4.05	 15.70	 34.71	 55.28	 74.90	 90.48	 97.60	 99.39	 99.61	 99.96
rcp26 %ile	 0.92	 2.05	 9.96	 30.39	 54.20	 72.80	 86.42	 94.94	 98.12	 99.50	 99.64	 99.96

2010	-0	0	1	3	3	4	5	6	7	8	9	10
2020	2	3	5	7	8	9	10	11	13	15	16	18
2030	5	6	9	11	13	15	16	18	21	24	25	28
2040	8	9	13	16	19	21	23	26	30	35	38	51
2050	9	12	16	21	25	28	31	35	42	50	56	84
2060	12	14	20	27	31	36	40	46	55	69	78	125
2070	14	17	24	32	38	43	49	57	70	90	103	174
2080	15	18	27	37	44	51	59	69	86	114	132	231
2090	16	20	30	41	51	59	69	82	105	141	165	296
2100	15	19	32	45	57	67	79	97	125	171	202	369

HILO	[300]	19.73	-155.06
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.12	 0.27	 0.96	 4.20	 11.26	 22.33	 39.12	 64.60	 89.35	 98.23	 99.35	 99.94
rcp45 %ile	 0.31	 0.53	 3.93	 15.59	 34.50	 55.01	 74.81	 90.47	 97.60	 99.39	 99.61	 99.96
rcp26 %ile	 0.87	 2.05	 9.97	 30.30	 54.10	 72.60	 86.19	 94.94	 98.10	 99.50	 99.64	 99.96

2010	1	1	2	4	4	5	6	7	8	9	9	11
2020	4	5	7	9	10	11	12	13	15	17	18	20
2030	9	9	12	14	16	18	19	21	24	27	28	31
2040	11	13	17	20	23	25	27	30	34	40	42	55
2050	14	16	21	26	30	33	36	41	47	55	61	89
2060	18	20	26	33	38	42	46	52	61	75	84	131
2070	21	24	31	39	45	50	56	64	77	97	110	181
2080	23	26	35	45	52	59	67	77	95	122	140	238
2090	25	29	39	50	60	68	78	91	113	150	174	304
2100	24	29	42	55	67	77	89	107	135	181	211	379

KAHULUI HARBOR	[521]	20.89	-156.48
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.10	 0.22	 0.85	 3.86	 10.71	 21.80	 38.73	 64.51	 89.34	 98.22	 99.35	 99.94
rcp45 %ile	 0.32	 0.50	 3.99	 15.80	 34.90	 55.47	 75.08	 90.51	 97.60	 99.39	 99.61	 99.96
rcp26 %ile	 0.95	 2.09	 10.04	 30.40	 54.20	 72.71	 86.39	 94.90	 98.12	 99.50	 99.64	 99.96

2010	0	1	2	3	4	5	5	6	7	8	9	10
2020	3	4	6	8	9	10	11	12	14	16	17	19
2030	6	8	10	13	15	16	18	20	22	25	27	30
2040	9	11	15	18	21	23	25	28	32	37	40	53
2050	12	14	19	24	27	30	34	38	44	52	58	87
2060	15	17	23	29	34	38	43	49	57	71	80	128
2070	17	20	27	35	41	47	52	60	73	93	106	177
2080	19	22	31	40	48	55	62	73	90	118	136	235
2090	20	24	34	45	55	63	73	86	109	145	169	300
2100	20	24	37	50	62	72	84	101	130	176	206	374

MIDWAY ISLAND	[523]	28.21	-177.36
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.13	 0.27	 0.96	 4.21	 11.30	 22.30	 38.87	 64.40	 89.19	 98.15	 99.35	 99.94
rcp45 %ile	 0.35	 0.60	 4.05	 15.24	 33.71	 53.90	 74.13	 90.32	 97.60	 99.45	 99.63	 99.96
rcp26 %ile	 0.85	 1.99	 9.87	 30.50	 54.80	 73.83	 87.15	 95.30	 98.40	 99.53	 99.67	 99.96

2010	-3	-2	0	2	3	4	5	7	8	10	11	14
2020	-1	0	3	6	8	9	11	13	15	18	19	23
2030	1	3	7	10	13	15	17	20	24	28	30	33
2040	5	7	12	16	20	22	25	29	34	40	43	53
2050	8	10	16	22	26	30	34	39	46	55	60	84
2060	7	10	18	26	33	38	43	50	60	74	83	125
2070	9	12	22	32	39	46	53	62	76	95	108	175
