"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	4863	587990	827.1
	"Baldwin County, AL"	"01003"	18648	1918783	971.9
	"Barbour County, AL"	"01005"	3499	338868	1032.6
	"Bibb County, AL"	"01007"	2636	261873	1006.6
	"Blount County, AL"	"01009"	6245	651305	958.8
	"Bullock County, AL"	"01011"	1597	134107	1190.8
	"Butler County, AL"	"01013"	3361	251951	1334.0
	"Calhoun County, AL"	"01015"	15863	1376502	1152.4
	"Chambers County, AL"	"01017"	5614	424725	1321.8
	"Cherokee County, AL"	"01019"	3439	299185	1149.5
	"Chilton County, AL"	"01021"	5219	499459	1044.9
	"Choctaw County, AL"	"01023"	2029	178167	1138.8
	"Clarke County, AL"	"01025"	3436	322834	1064.3
	"Clay County, AL"	"01027"	2154	169621	1269.9
	"Cleburne County, AL"	"01029"	1960	174046	1126.1
	"Coffee County, AL"	"01031"	5591	551490	1013.8
	"Colbert County, AL"	"01033"	7605	654272	1162.4
	"Conecuh County, AL"	"01035"	2045	163350	1251.9
	"Coosa County, AL"	"01037"	1588	140016	1134.2
	"Covington County, AL"	"01039"	6033	448344	1345.6
	"Crenshaw County, AL"	"01041"	2170	165374	1312.2
	"Cullman County, AL"	"01043"	10766	943536	1141.0
	"Dale County, AL"	"01045"	5440	592925	917.5
	"Dallas County, AL"	"01047"	6611	539356	1225.7
	"DeKalb County, AL"	"01049"	8367	811314	1031.3
	"Elmore County, AL"	"01051"	7373	868594	848.8
	"Escambia County, AL"	"01053"	5127	456127	1124.0
	"Etowah County, AL"	"01055"	16189	1243000	1302.4
	"Fayette County, AL"	"01057"	2756	215265	1280.3
	"Franklin County, AL"	"01059"	4625	373967	1236.7
	"Geneva County, AL"	"01061"	3813	312638	1219.6
	"Greene County, AL"	"01063"	1304	115235	1131.6
	"Hale County, AL"	"01065"	2321	200804	1155.9
	"Henry County, AL"	"01067"	2511	200986	1249.3
	"Houston County, AL"	"01069"	10902	1129093	965.6
	"Jackson County, AL"	"01071"	7251	642711	1128.2
	"Jefferson County, AL"	"01073"	85733	7895535	1085.8
	"Lamar County, AL"	"01075"	2327	181982	1278.7
	"Lauderdale County, AL"	"01077"	11469	1076005	1065.9
	"Lawrence County, AL"	"01079"	4314	413320	1043.7
	"Lee County, AL"	"01081"	9574	1506197	635.6
	"Limestone County, AL"	"01083"	7204	867300	830.6
	"Lowndes County, AL"	"01085"	1669	150105	1111.9
	"Macon County, AL"	"01087"	3246	272269	1192.2
	"Madison County, AL"	"01089"	28072	3622041	775.0
	"Marengo County, AL"	"01091"	3043	261383	1164.2
	"Marion County, AL"	"01093"	4717	369395	1277.0
	"Marshall County, AL"	"01095"	11683	1040230	1123.1
	"Mobile County, AL"	"01097"	47880	4835640	990.1
	"Monroe County, AL"	"01099"	3082	284929	1081.7
	"Montgomery County, AL"	"01101"	24587	2702191	909.9
	"Morgan County, AL"	"01103"	13263	1373076	965.9
	"Perry County, AL"	"01105"	1766	133845	1319.4
	"Pickens County, AL"	"01107"	3071	244420	1256.4
	"Pike County, AL"	"01109"	3793	370706	1023.2
	"Randolph County, AL"	"01111"	3324	271003	1226.6
	"Russell County, AL"	"01113"	6847	605219	1131.3
	"St. Clair County, AL"	"01115"	8309	876521	948.0
	"Shelby County, AL"	"01117"	12258	2022940	605.9
	"Sumter County, AL"	"01119"	1878	170952	1098.6
	"Talladega County, AL"	"01121"	10809	977828	1105.4
	"Tallapoosa County, AL"	"01123"	6328	496005	1275.8
	"Tuscaloosa County, AL"	"01125"	18267	2123081	860.4
	"Walker County, AL"	"01127"	11203	825994	1356.3
	"Washington County, AL"	"01129"	2065	213095	969.1
	"Wilcox County, AL"	"01131"	1757	149607	1174.4
	"Winston County, AL"	"01133"	3579	296063	1208.9
	"Aleutians East Borough, AK"	"02013"	81	34028	238.0
	"Aleutians West Census Area, AK"	"02016"	157	66869	234.8
	"Anchorage Borough, AK"	"02020"	14891	3293614	452.1
	"Bethel Census Area, AK"	"02050"	1102	198393	555.5
	"Bristol Bay Borough, AK"	"02060"	77	13588	566.7
	"Denali Borough, AK"	"02068"	37	14622	253.0
	"Dillingham Census Area, AK"	"02070"	333	58110	573.1
	"Fairbanks North Star Borough, AK"	"02090"	4309	1074959	400.9
	"Haines Borough, AK"	"02100"	198	28380	697.7
	"Juneau Borough, AK"	"02110"	1713	370480	462.4
	"Kenai Peninsula Borough, AK"	"02122"	3793	623543	608.3
	"Ketchikan Gateway Borough, AK"	"02130"	1093	162581	672.3
	"Kodiak Island Borough, AK"	"02150"	633	161324	392.4
